Fire_ID,Feature,value
NM3338210781720030704,1986-01-01,5839.27471296811
NM3338210781720030704,1987-01-01,6528.03399879233
NM3338210781720030704,1988-01-01,6895.43389464778
NM3338210781720030704,1989-01-01,6462.69709065727
NM3338210781720030704,1990-01-01,6417.08625966962
NM3338210781720030704,1991-01-01,6113.19364778158
NM3338210781720030704,1992-01-01,6506.25587231468
NM3338210781720030704,1993-01-01,6676.65516876834
NM3338210781720030704,1994-01-01,6065.10519706512
NM3338210781720030704,1995-01-01,7006.35117553784
NM3338210781720030704,1996-01-01,6994.18172135916
NM3338210781720030704,1997-01-01,7059.26610237127
NM3338210781720030704,1998-01-01,6699.59812963148
NM3338210781720030704,1999-01-01,7073.57401936192
NM3338210781720030704,2000-01-01,6447.42522144013
NM3338210781720030704,2001-01-01,6839.08084011996
NM3338210781720030704,2002-01-01,5916.67295866788
NM3338210781720030704,2003-01-01,5068.0442506796
NM3338210781720030704,2004-01-01,4701.08236472153
NM3338210781720030704,2005-01-01,4884.38454988405
NM3338210781720030704,2006-01-01,5359.30559928155
NM3338210781720030704,2007-01-01,5407.30648281466
NM3338210781720030704,2008-01-01,5070.91276759068
NM3338210781720030704,2009-01-01,5533.87444089354
NM3338210781720030704,2010-01-01,5813.24593458973
NM3338210781720030704,2011-01-01,4342.17005180742
NM3338210781720030704,2012-01-01,4578.25508419384
NM3338210781720030704,2013-01-01,4874.65040380664
NM3338210781720030704,2014-01-01,5856.96259706205
NM3338210781720030704,2015-01-01,6433.63576694451
NM3338210781720030704,2016-01-01,6596.35861558908
NM3338210781720030704,2017-01-01,6480.98718350637
NM3338210781720030704,2018-01-01,5860.83746670129
NM3338210781720030704,2019-01-01,4927.23479107983
NM3338210781720030704,2020-01-01,4431.60387919013
