Fire_ID,Feature,value
NM3342710857420060619,1986-01-01,6222.74757456089
NM3342710857420060619,1987-01-01,5920.09705885049
NM3342710857420060619,1988-01-01,6030.40640967964
NM3342710857420060619,1989-01-01,5746.25718518614
NM3342710857420060619,1990-01-01,6046.49085750234
NM3342710857420060619,1991-01-01,6103.19165967016
NM3342710857420060619,1992-01-01,6497.76041880498
NM3342710857420060619,1993-01-01,6340.33265933386
NM3342710857420060619,1994-01-01,6358.63719832434
NM3342710857420060619,1995-01-01,6700.25581693203
NM3342710857420060619,1996-01-01,6749.55011223101
NM3342710857420060619,1997-01-01,6853.36781819953
NM3342710857420060619,1998-01-01,6528.71091144845
NM3342710857420060619,1999-01-01,6819.15461590092
NM3342710857420060619,2000-01-01,6251.73575761496
NM3342710857420060619,2001-01-01,6780.97039487753
NM3342710857420060619,2002-01-01,5763.99413397526
NM3342710857420060619,2003-01-01,5861.35524553314
NM3342710857420060619,2004-01-01,6354.52562577554
NM3342710857420060619,2005-01-01,6682.49035560931
NM3342710857420060619,2006-01-01,6354.55240112334
NM3342710857420060619,2007-01-01,4908.24565742489
NM3342710857420060619,2008-01-01,4608.46197379096
NM3342710857420060619,2009-01-01,4857.36533446245
NM3342710857420060619,2010-01-01,4797.10322894442
NM3342710857420060619,2011-01-01,3654.3968806632
NM3342710857420060619,2012-01-01,3870.81593846864
NM3342710857420060619,2013-01-01,4243.51124440911
NM3342710857420060619,2014-01-01,4929.96037529622
NM3342710857420060619,2015-01-01,5661.12659725529
NM3342710857420060619,2016-01-01,5541.15946516861
NM3342710857420060619,2017-01-01,5258.56523182935
NM3342710857420060619,2018-01-01,4944.39997555011
NM3342710857420060619,2019-01-01,4275.80668751768
NM3342710857420060619,2020-01-01,3840.18191693509
