Fire_ID,Feature,value
OR4244112390420020713,1986-01-01,8810.40058441478
OR4244112390420020713,1987-01-01,8980.79829317618
OR4244112390420020713,1988-01-01,8174.74068609801
OR4244112390420020713,1989-01-01,9516.27296583617
OR4244112390420020713,1990-01-01,8990.43674156654
OR4244112390420020713,1991-01-01,7902.2559551993
OR4244112390420020713,1992-01-01,9008.94183924532
OR4244112390420020713,1993-01-01,8084.75373921057
OR4244112390420020713,1994-01-01,8415.648036155
OR4244112390420020713,1995-01-01,8466.16946546743
OR4244112390420020713,1996-01-01,7858.06564448346
OR4244112390420020713,1997-01-01,8722.64212705194
OR4244112390420020713,1998-01-01,8071.1674824534
OR4244112390420020713,1999-01-01,7817.1681185739
OR4244112390420020713,2000-01-01,8768.82219131271
OR4244112390420020713,2001-01-01,8219.60761932926
OR4244112390420020713,2002-01-01,7420.82111335005
OR4244112390420020713,2003-01-01,5867.80716048558
OR4244112390420020713,2004-01-01,7410.18746252003
OR4244112390420020713,2005-01-01,7496.23187017417
OR4244112390420020713,2006-01-01,6819.41357305284
OR4244112390420020713,2007-01-01,7611.13055883969
OR4244112390420020713,2008-01-01,6951.76756757577
OR4244112390420020713,2009-01-01,7439.79433742483
OR4244112390420020713,2010-01-01,7255.45657675584
OR4244112390420020713,2011-01-01,7811.57224453085
OR4244112390420020713,2012-01-01,7221.6278236094
OR4244112390420020713,2013-01-01,7348.76376768907
OR4244112390420020713,2014-01-01,8055.33824207119
OR4244112390420020713,2015-01-01,8393.93608253642
OR4244112390420020713,2016-01-01,8520.23656123007
OR4244112390420020713,2017-01-01,7203.2539499682
OR4244112390420020713,2018-01-01,7604.9289603675
OR4244112390420020713,2019-01-01,5715.25737596845
OR4244112390420020713,2020-01-01,5512.73194990907
