Fire_ID,Feature,value
MT4743511379720030810,1986-01-01,5276.11085895745
MT4743511379720030810,1987-01-01,5899.43268050697
MT4743511379720030810,1988-01-01,5288.82167783753
MT4743511379720030810,1989-01-01,5386.18419557183
MT4743511379720030810,1990-01-01,5559.78640568689
MT4743511379720030810,1991-01-01,5255.01832941031
MT4743511379720030810,1992-01-01,5400.1904509991
MT4743511379720030810,1993-01-01,5138.31058034972
MT4743511379720030810,1994-01-01,4707.30328618107
MT4743511379720030810,1995-01-01,5180.14955184977
MT4743511379720030810,1996-01-01,4639.38181094405
MT4743511379720030810,1997-01-01,5139.15181126982
MT4743511379720030810,1998-01-01,5723.53827242421
MT4743511379720030810,1999-01-01,5267.58162719494
MT4743511379720030810,2000-01-01,5128.29734453358
MT4743511379720030810,2001-01-01,5312.18512208758
MT4743511379720030810,2002-01-01,3975.69429543254
MT4743511379720030810,2003-01-01,3472.60306421632
MT4743511379720030810,2004-01-01,3400.62466850905
MT4743511379720030810,2005-01-01,3408.26966547299
MT4743511379720030810,2006-01-01,3370.57826072594
MT4743511379720030810,2007-01-01,3228.84494371916
MT4743511379720030810,2008-01-01,3401.9281801628
MT4743511379720030810,2009-01-01,3442.78238275518
MT4743511379720030810,2010-01-01,3587.19132159946
MT4743511379720030810,2011-01-01,3000.97446893447
MT4743511379720030810,2012-01-01,2959.83353175711
MT4743511379720030810,2013-01-01,3332.51737238082
MT4743511379720030810,2014-01-01,3637.79023433075
MT4743511379720030810,2015-01-01,4204.12140220781
MT4743511379720030810,2016-01-01,4580.51953153902
MT4743511379720030810,2017-01-01,4216.26527906186
MT4743511379720030810,2018-01-01,4252.97102328508
MT4743511379720030810,2019-01-01,4276.89247133691
MT4743511379720030810,2020-01-01,4012.94082586577
