Fire_ID,Feature,value
AZ3360210944920110529,1986-01-01,5092.07605369269
AZ3360210944920110529,1987-01-01,4909.99151708712
AZ3360210944920110529,1988-01-01,5088.87828687822
AZ3360210944920110529,1989-01-01,4471.63322050047
AZ3360210944920110529,1990-01-01,4843.52254831492
AZ3360210944920110529,1991-01-01,4748.92511463843
AZ3360210944920110529,1992-01-01,5165.65146708823
AZ3360210944920110529,1993-01-01,4931.81143461115
AZ3360210944920110529,1994-01-01,4938.41309714678
AZ3360210944920110529,1995-01-01,5082.24292174818
AZ3360210944920110529,1996-01-01,5322.41153497296
AZ3360210944920110529,1997-01-01,5360.66735434024
AZ3360210944920110529,1998-01-01,4953.09256197417
AZ3360210944920110529,1999-01-01,5268.60941932719
AZ3360210944920110529,2000-01-01,4725.31042921234
AZ3360210944920110529,2001-01-01,5248.6425019955
AZ3360210944920110529,2002-01-01,4420.98641175845
AZ3360210944920110529,2003-01-01,4543.66301655853
AZ3360210944920110529,2004-01-01,5053.79734026418
AZ3360210944920110529,2005-01-01,5690.13007337
AZ3360210944920110529,2006-01-01,5693.86650650609
AZ3360210944920110529,2007-01-01,5519.97554025554
AZ3360210944920110529,2008-01-01,5487.43828742352
AZ3360210944920110529,2009-01-01,5750.19799076863
AZ3360210944920110529,2010-01-01,5849.59044932708
AZ3360210944920110529,2011-01-01,3717.16405183968
AZ3360210944920110529,2012-01-01,4230.19344634796
AZ3360210944920110529,2013-01-01,4384.93624820184
AZ3360210944920110529,2014-01-01,5138.99808894499
AZ3360210944920110529,2015-01-01,5854.62452340484
AZ3360210944920110529,2016-01-01,5399.13049351986
AZ3360210944920110529,2017-01-01,5352.09662680672
AZ3360210944920110529,2018-01-01,5147.87355121064
AZ3360210944920110529,2019-01-01,4716.43142688708
AZ3360210944920110529,2020-01-01,4227.37931012054
